x, y, z, Dynamic Pressure
0.020,0.143,0.,0.0015959756
0.031,0.143,0.,0.00765370391
0.041,0.143,0.,0.0255956911
0.051,0.143,0.,0.0622111186
0.061,0.143,0.,0.130800098
0.071,0.143,0.,0.248357147
0.082,0.143,0.,0.433040619
0.092,0.143,0.,0.700323164
0.102,0.143,0.,1.06086326
0.112,0.143,0.,1.52338862
0.122,0.143,0.,2.09571576
0.133,0.143,0.,2.77855515
0.143,0.143,0.,3.55283046
0.153,0.143,0.,4.36806774
0.163,0.143,0.,5.14488173
0.173,0.143,0.,5.80065775
0.184,0.143,0.,6.29355097
0.194,0.143,0.,6.65397596
0.204,0.143,0.,6.99249601
0.214,0.143,0.,7.46379662
0.224,0.143,0.,8.19499493
0.235,0.143,0.,9.22890377
0.245,0.143,0.,10.4873133
0.255,0.143,0.,11.7784853
0.265,0.143,0.,12.8439178
0.276,0.143,0.,13.4375458
0.286,0.143,0.,13.4000301
0.296,0.143,0.,12.6997509
0.306,0.143,0.,11.4353485
0.316,0.143,0.,9.79357719
0.327,0.143,0.,7.9967823
0.337,0.143,0.,6.25139236
0.347,0.143,0.,4.7079792
0.357,0.143,0.,3.44005346
0.367,0.143,0.,2.44849181
0.378,0.143,0.,1.69159567
0.388,0.143,0.,1.12114608
0.398,0.143,0.,0.70148164
0.408,0.143,0.,0.406981349
0.418,0.143,0.,0.214072615
0.429,0.143,0.,0.0986400247
0.439,0.143,0.,0.0380417816
0.449,0.143,0.,0.0150364768
0.459,0.143,0.,0.0100594321
0.469,0.143,0.,0.00761771901
0.48,0.143,0.,0.00517173018
0.49,0.143,0.,0.00285788067
0.5,0.143,0.,0.00167661952
0.,0.153,0.,0.000632201147
0.010,0.153,0.,0.00103168911
0.020,0.153,0.,0.00199646316
0.031,0.153,0.,0.00931388047
0.041,0.153,0.,0.0318230242
0.051,0.153,0.,0.0788094178
0.061,0.153,0.,0.167538553
0.071,0.153,0.,0.320024252
0.082,0.153,0.,0.559507608
0.092,0.153,0.,0.907067776
0.102,0.153,0.,1.38196731
0.112,0.153,0.,2.00829959
0.122,0.153,0.,2.8142705
0.133,0.153,0.,3.81724119
0.143,0.153,0.,4.99718237
