Node Number,x,y,z,Dynamic Pressure
26895.0,0.473,0.058,0.0,1.1
28389.0,0.483,0.058,0.0,0.713
29923.0,0.493,0.058,0.0,0.434
2935.0,0.007,0.068,0.0,0.955
3295.0,0.017,0.068,0.0,1.44
3683.0,0.027,0.068,0.0,2.06
4100.0,0.037,0.068,0.0,2.86
4547.0,0.048,0.068,0.0,3.84
5025.0,0.058,0.068,0.0,5.01
5535.0,0.068,0.068,0.0,6.29
6078.0,0.078,0.068,0.0,7.56
6655.0,0.088,0.068,0.0,8.67
7267.0,0.099,0.068,0.0,9.53
7915.0,0.109,0.068,0.0,10.2
8600.0,0.119,0.068,0.0,10.8
9323.0,0.129,0.068,0.0,11.6
10085.0,0.139,0.068,0.0,12.7
10887.0,0.15,0.068,0.0,14.4
11730.0,0.16,0.068,0.0,16.2
12615.0,0.17,0.068,0.0,18.0
13543.0,0.18,0.068,0.0,19.3
14515.0,0.19,0.068,0.0,19.8
15532.0,0.201,0.068,0.0,19.2
16595.0,0.211,0.068,0.0,17.7
17705.0,0.221,0.068,0.0,15.5
18863.0,0.231,0.068,0.0,12.9
20070.0,0.241,0.068,0.0,10.2
6655.0,0.259,0.068,0.0,8.67
7267.0,0.269,0.068,0.0,9.53
7915.0,0.279,0.068,0.0,10.2
8600.0,0.289,0.068,0.0,10.8
9323.0,0.299,0.068,0.0,11.6
10085.0,0.309,0.068,0.0,12.7
10887.0,0.32,0.068,0.0,14.4
11730.0,0.33,0.068,0.0,16.2
12615.0,0.34,0.068,0.0,18.0
13543.0,0.35,0.068,0.0,19.3
14515.0,0.361,0.068,0.0,19.8
15532.0,0.371,0.068,0.0,19.2
16595.0,0.381,0.068,0.0,17.7
17705.0,0.391,0.068,0.0,15.5
18863.0,0.401,0.068,0.0,12.9
20070.0,0.412,0.068,0.0,10.2
21327.0,0.422,0.068,0.0,7.75
22635.0,0.432,0.068,0.0,5.65
23995.0,0.442,0.068,0.0,4.01
25404.0,0.452,0.068,0.0,2.8
26855.0,0.463,0.068,0.0,1.92
28348.0,0.473,0.068,0.0,1.29
29881.0,0.483,0.068,0.0,0.831
31452.0,0.493,0.068,0.0,0.507
3283.0,0.007,0.078,0.0,1.14
3670.0,0.017,0.078,0.0,1.73
4086.0,0.027,0.078,0.0,2.54
4532.0,0.037,0.078,0.0,3.61
5009.0,0.048,0.078,0.0,4.99
5518.0,0.058,0.078,0.0,6.69
6060.0,0.068,0.078,0.0,8.61
6636.0,0.078,0.078,0.0,10.6
7247.0,0.088,0.078,0.0,12.3
7894.0,0.099,0.078,0.0,13.6
8578.0,0.109,0.078,0.0,14.7
9300.0,0.119,0.078,0.0,15.7
10061.0,0.129,0.078,0.0,16.9
10862.0,0.139,0.078,0.0,18.7
11704.0,0.15,0.078,0.0,21.1
12588.0,0.16,0.078,0.0,23.7
13515.0,0.17,0.078,0.0,25.9
14486.0,0.18,0.078,0.0,27.2
15502.0,0.19,0.078,0.0,27.2
16564.0,0.201,0.078,0.0,25.8
17673.0,0.211,0.078,0.0,23.3
18830.0,0.221,0.078,0.0,19.9
20036.0,0.231,0.078,0.0,16.3
21292.0,0.241,0.078,0.0,12.7
7247.0,0.259,0.078,0.0,12.3
7894.0,0.269,0.078,0.0,13.6
8578.0,0.279,0.078,0.0,14.7
9300.0,0.289,0.078,0.0,15.7
10061.0,0.299,0.078,0.0,16.9
10862.0,0.309,0.078,0.0,18.7
11704.0,0.32,0.078,0.0,21.1
12588.0,0.33,0.078,0.0,23.7
13515.0,0.34,0.078,0.0,25.9
14486.0,0.35,0.078,0.0,27.2
15502.0,0.361,0.078,0.0,27.2
16564.0,0.371,0.078,0.0,25.8
17673.0,0.381,0.078,0.0,23.3
18830.0,0.391,0.078,0.0,19.9
20036.0,0.401,0.078,0.0,16.3
21292.0,0.412,0.078,0.0,12.7
22599.0,0.422,0.078,0.0,9.44
23958.0,0.432,0.078,0.0,6.76
25366.0,0.442,0.078,0.0,4.71
26816.0,0.452,0.078,0.0,3.23
28308.0,0.463,0.078,0.0,2.19
29840.0,0.473,0.078,0.0,1.46
31410.0,0.483,0.078,0.0,0.936
33016.0,0.493,0.078,0.0,0.573
3658.0,0.007,0.088,0.0,1.3
4073.0,0.017,0.088,0.0,2.02
4518.0,0.027,0.088,0.0,3.01
4994.0,0.037,0.088,0.0,4.4
5502.0,0.048,0.088,0.0,6.26
6043.0,0.058,0.088,0.0,8.61
6618.0,0.068,0.088,0.0,11.3
7228.0,0.078,0.088,0.0,14.1
7874.0,0.088,0.088,0.0,16.7
8557.0,0.099,0.088,0.0,18.8
9278.0,0.109,0.088,0.0,20.5
10038.0,0.119,0.088,0.0,22.1
10838.0,0.129,0.088,0.0,24.0
11679.0,0.139,0.088,0.0,26.6
12562.0,0.15,0.088,0.0,29.9
13488.0,0.16,0.088,0.0,33.1
14458.0,0.17,0.088,0.0,35.5
15473.0,0.18,0.088,0.0,36.4
16534.0,0.19,0.088,0.0,35.5
17642.0,0.201,0.088,0.0,32.8
18798.0,0.211,0.088,0.0,28.9
20003.0,0.221,0.088,0.0,24.2
21258.0,0.231,0.088,0.0,19.4
22564.0,0.241,0.088,0.0,14.9
7874.0,0.259,0.088,0.0,16.7
8557.0,0.269,0.088,0.0,18.8
9278.0,0.279,0.088,0.0,20.5
10038.0,0.289,0.088,0.0,22.1
10838.0,0.299,0.088,0.0,24.0
11679.0,0.309,0.088,0.0,26.6
12562.0,0.32,0.088,0.0,29.9
13488.0,0.33,0.088,0.0,33.1
14458.0,0.34,0.088,0.0,35.5
15473.0,0.35,0.088,0.0,36.4
16534.0,0.361,0.088,0.0,35.5
17642.0,0.371,0.088,0.0,32.8
18798.0,0.381,0.088,0.0,28.9
20003.0,0.391,0.088,0.0,24.2
21258.0,0.401,0.088,0.0,19.4
22564.0,0.412,0.088,0.0,14.9
23922.0,0.422,0.088,0.0,10.9
25329.0,0.432,0.088,0.0,7.71
26778.0,0.442,0.088,0.0,5.31
28269.0,0.452,0.088,0.0,3.59
29800.0,0.463,0.088,0.0,2.41
31369.0,0.473,0.088,0.0,1.6
32974.0,0.483,0.088,0.0,1.03
34613.0,0.493,0.088,0.0,0.629
4061.0,0.007,0.099,0.0,1.43
4505.0,0.017,0.099,0.0,2.25
4980.0,0.027,0.099,0.0,3.44
5487.0,0.037,0.099,0.0,5.14
6027.0,0.048,0.099,0.0,7.5
6601.0,0.058,0.099,0.0,10.6
7210.0,0.068,0.099,0.0,14.2
7855.0,0.078,0.099,0.0,18.1
8537.0,0.088,0.099,0.0,21.8
9257.0,0.099,0.099,0.0,24.9
10016.0,0.109,0.099,0.0,27.5
10815.0,0.119,0.099,0.0,29.9
11655.0,0.129,0.099,0.0,32.8
12537.0,0.139,0.099,0.0,36.4
13462.0,0.15,0.099,0.0,40.6
14431.0,0.16,0.099,0.0,44.3
15445.0,0.17,0.099,0.0,46.5
16505.0,0.18,0.099,0.0,46.5
17612.0,0.19,0.099,0.0,44.0
18767.0,0.201,0.099,0.0,39.6
19971.0,0.211,0.099,0.0,34.0
21225.0,0.221,0.099,0.0,27.9
22530.0,0.231,0.099,0.0,21.9
23887.0,0.241,0.099,0.0,16.5
8537.0,0.259,0.099,0.0,21.8
9257.0,0.269,0.099,0.0,24.9
10016.0,0.279,0.099,0.0,27.5
10815.0,0.289,0.099,0.0,29.9
11655.0,0.299,0.099,0.0,32.8
12537.0,0.309,0.099,0.0,36.4
13462.0,0.32,0.099,0.0,40.6
14431.0,0.33,0.099,0.0,44.3
15445.0,0.34,0.099,0.0,46.5
16505.0,0.35,0.099,0.0,46.5
17612.0,0.361,0.099,0.0,44.0
18767.0,0.371,0.099,0.0,39.6
19971.0,0.381,0.099,0.0,34.0
21225.0,0.391,0.099,0.0,27.9
22530.0,0.401,0.099,0.0,21.9
23887.0,0.412,0.099,0.0,16.5
25293.0,0.422,0.099,0.0,12.0
26741.0,0.432,0.099,0.0,8.41
28231.0,0.442,0.099,0.0,5.74
29761.0,0.452,0.099,0.0,3.87
31329.0,0.463,0.099,0.0,2.59
32933.0,0.473,0.099,0.0,1.72
34571.0,0.483,0.099,0.0,1.1
36241.0,0.493,0.099,0.0,0.677
4493.0,0.007,0.109,0.0,1.5
4967.0,0.017,0.109,0.0,2.41
5473.0,0.027,0.109,0.0,3.76
6012.0,0.037,0.109,0.0,5.74
6585.0,0.048,0.109,0.0,8.56
7193.0,0.058,0.109,0.0,12.3
7837.0,0.068,0.109,0.0,16.9
8518.0,0.078,0.109,0.0,22.0
9237.0,0.088,0.109,0.0,27.1
9995.0,0.099,0.109,0.0,31.6
10793.0,0.109,0.109,0.0,35.5
11632.0,0.119,0.109,0.0,39.1
12513.0,0.129,0.109,0.0,43.2
13437.0,0.139,0.109,0.0,48.0
14405.0,0.15,0.109,0.0,53.0
15418.0,0.16,0.109,0.0,56.9
16477.0,0.17,0.109,0.0,58.5
17583.0,0.18,0.109,0.0,56.8
18737.0,0.19,0.109,0.0,52.3
19940.0,0.201,0.109,0.0,45.7
21193.0,0.211,0.109,0.0,38.3
22497.0,0.221,0.109,0.0,30.7
23853.0,0.231,0.109,0.0,23.7
25258.0,0.241,0.109,0.0,17.7
9237.0,0.259,0.109,0.0,27.1
9995.0,0.269,0.109,0.0,31.6
10793.0,0.279,0.109,0.0,35.5
11632.0,0.289,0.109,0.0,39.1
12513.0,0.299,0.109,0.0,43.2
13437.0,0.309,0.109,0.0,48.0
14405.0,0.32,0.109,0.0,53.0
15418.0,0.33,0.109,0.0,56.9
16477.0,0.34,0.109,0.0,58.5
17583.0,0.35,0.109,0.0,56.8
18737.0,0.361,0.109,0.0,52.3
19940.0,0.371,0.109,0.0,45.7
21193.0,0.381,0.109,0.0,38.3
22497.0,0.391,0.109,0.0,30.7
23853.0,0.401,0.109,0.0,23.7
25258.0,0.412,0.109,0.0,17.7
26705.0,0.422,0.109,0.0,12.7
28194.0,0.432,0.109,0.0,8.85
29723.0,0.442,0.109,0.0,6.03
31290.0,0.452,0.109,0.0,4.07
32893.0,0.463,0.109,0.0,2.73
34530.0,0.473,0.109,0.0,1.81
36199.0,0.483,0.109,0.0,1.17
37898.0,0.493,0.109,0.0,0.721
4955.0,0.007,0.119,0.0,1.51
5460.0,0.017,0.119,0.0,2.47
5998.0,0.027,0.119,0.0,3.92
6570.0,0.037,0.119,0.0,6.09
7177.0,0.048,0.119,0.0,9.27
7820.0,0.058,0.119,0.0,13.6
8500.0,0.068,0.119,0.0,19.2
9218.0,0.078,0.119,0.0,25.5
