x,y,z,dynamic pressure
0.0,0.04,0.38,0.0106
0.0,0.04,0.39,0.0104
0.0,0.04,0.4,0.0102
0.0,0.04,0.41000000000000003,0.00995
0.0,0.04,0.42,0.00973
0.0,0.04,0.43,0.00949
0.0,0.04,0.44,0.00923
0.0,0.04,0.45,0.00895
0.0,0.04,0.46,0.00864
0.0,0.04,0.47000000000000003,0.00833
0.0,0.04,0.48,0.008
0.0,0.04,0.49,0.00783
0.0,0.05,0.0,8.67e-06
0.0,0.05,0.01,2.56e-05
0.0,0.05,0.02,0.000109
0.0,0.05,0.03,0.000293
0.0,0.05,0.04,0.00062
0.0,0.05,0.05,0.00113
0.0,0.05,0.06,0.00186
0.0,0.05,0.07,0.00289
0.0,0.05,0.08,0.00427
0.0,0.05,0.09,0.00604
0.0,0.05,0.1,0.00818
0.0,0.05,0.11,0.0107
0.0,0.05,0.12,0.0133
0.0,0.05,0.13,0.0161
0.0,0.05,0.14,0.0187
0.0,0.05,0.15,0.0211
0.0,0.05,0.16,0.023
0.0,0.05,0.17,0.0246
0.0,0.05,0.18,0.0257
0.0,0.05,0.19,0.0263
0.0,0.05,0.2,0.0265
0.0,0.05,0.21,0.0264
0.0,0.05,0.22,0.026
0.0,0.05,0.23,0.0254
0.0,0.05,0.24,0.0247
0.0,0.05,0.25,0.0238
0.0,0.05,0.26,0.0229
0.0,0.05,0.27,0.0219
0.0,0.05,0.28,0.021
0.0,0.05,0.29,0.0201
0.0,0.05,0.3,0.0192
0.0,0.05,0.31,0.0185
0.0,0.05,0.32,0.0178
0.0,0.05,0.33,0.0172
0.0,0.05,0.34,0.0167
0.0,0.05,0.35000000000000003,0.0162
0.0,0.05,0.36,0.0159
0.0,0.05,0.37,0.0155
0.0,0.05,0.38,0.0152
0.0,0.05,0.39,0.015
0.0,0.05,0.4,0.0147
0.0,0.05,0.41000000000000003,0.0144
0.0,0.05,0.42,0.0141
0.0,0.05,0.43,0.0138
0.0,0.05,0.44,0.0135
0.0,0.05,0.45,0.0131
0.0,0.05,0.46,0.0127
0.0,0.05,0.47000000000000003,0.0123
0.0,0.05,0.48,0.0118
0.0,0.05,0.49,0.0116
0.0,0.06,0.0,1.51e-05
0.0,0.06,0.01,4.22e-05
0.0,0.06,0.02,0.000181
0.0,0.06,0.03,0.000482
0.0,0.06,0.04,0.000999
0.0,0.06,0.05,0.00178
0.0,0.06,0.06,0.00288
0.0,0.06,0.07,0.00439
0.0,0.06,0.08,0.00636
0.0,0.06,0.09,0.00883
0.0,0.06,0.1,0.0118
0.0,0.06,0.11,0.0151
0.0,0.06,0.12,0.0186
0.0,0.06,0.13,0.0221
0.0,0.06,0.14,0.0254
0.0,0.06,0.15,0.0284
0.0,0.06,0.16,0.0308
0.0,0.06,0.17,0.0326
0.0,0.06,0.18,0.0339
0.0,0.06,0.19,0.0346
0.0,0.06,0.2,0.0348
0.0,0.06,0.21,0.0346
0.0,0.06,0.22,0.0341
0.0,0.06,0.23,0.0333
0.0,0.06,0.24,0.0323
0.0,0.06,0.25,0.0312
0.0,0.06,0.26,0.03
0.0,0.06,0.27,0.0287
0.0,0.06,0.28,0.0275
0.0,0.06,0.29,0.0264
0.0,0.06,0.3,0.0253
0.0,0.06,0.31,0.0244
0.0,0.06,0.32,0.0235
0.0,0.06,0.33,0.0228
0.0,0.06,0.34,0.0221
0.0,0.06,0.35000000000000003,0.0216
0.0,0.06,0.36,0.0211
0.0,0.06,0.37,0.0207
0.0,0.06,0.38,0.0203
0.0,0.06,0.39,0.02
0.0,0.06,0.4,0.0197
0.0,0.06,0.41000000000000003,0.0194
0.0,0.06,0.42,0.0191
0.0,0.06,0.43,0.0188
0.0,0.06,0.44,0.0184
0.0,0.06,0.45,0.018
0.0,0.06,0.46,0.0175
0.0,0.06,0.47000000000000003,0.0169
0.0,0.06,0.48,0.0163
0.0,0.06,0.49,0.016
0.0,0.07,0.0,2.78e-05
0.0,0.07,0.01,7.31e-05
0.0,0.07,0.02,0.000306
0.0,0.07,0.03,0.000795
0.0,0.07,0.04,0.00161
0.0,0.07,0.05,0.00279
0.0,0.07,0.06,0.0044
0.0,0.07,0.07,0.00655
0.0,0.07,0.08,0.00927
0.0,0.07,0.09,0.0126
0.0,0.07,0.1,0.0165
0.0,0.07,0.11,0.0207
0.0,0.07,0.12,0.0251
0.0,0.07,0.13,0.0294
0.0,0.07,0.14,0.0333
0.0,0.07,0.15,0.0367
0.0,0.07,0.16,0.0395
0.0,0.07,0.17,0.0415
0.0,0.07,0.18,0.0428
0.0,0.07,0.19,0.0435
0.0,0.07,0.2,0.0436
0.0,0.07,0.21,0.0433
0.0,0.07,0.22,0.0426
0.0,0.07,0.23,0.0415
0.0,0.07,0.24,0.0403
0.0,0.07,0.25,0.0389
0.0,0.07,0.26,0.0374
0.0,0.07,0.27,0.0359
0.0,0.07,0.28,0.0344
0.0,0.07,0.29,0.033
0.0,0.07,0.3,0.0317
0.0,0.07,0.31,0.0306
0.0,0.07,0.32,0.0295
0.0,0.07,0.33,0.0286
0.0,0.07,0.34,0.0279
0.0,0.07,0.35000000000000003,0.0272
0.0,0.07,0.36,0.0267
0.0,0.07,0.37,0.0263
0.0,0.07,0.38,0.0259
0.0,0.07,0.39,0.0256
0.0,0.07,0.4,0.0253
0.0,0.07,0.41000000000000003,0.025
0.0,0.07,0.42,0.0246
0.0,0.07,0.43,0.0243
0.0,0.07,0.44,0.0239
0.0,0.07,0.45,0.0234
0.0,0.07,0.46,0.0229
0.0,0.07,0.47000000000000003,0.0222
0.0,0.07,0.48,0.0215
0.0,0.07,0.49,0.0211
0.0,0.08,0.0,5.27e-05
0.0,0.08,0.01,0.000131
0.0,0.08,0.02,0.00052
0.0,0.08,0.03,0.00131
0.0,0.08,0.04,0.00255
0.0,0.08,0.05,0.00431
0.0,0.08,0.06,0.00664
0.0,0.08,0.07,0.00962
0.0,0.08,0.08,0.0133
0.0,0.08,0.09,0.0177
0.0,0.08,0.1,0.0226
0.0,0.08,0.11,0.0278
0.0,0.08,0.12,0.0331
0.0,0.08,0.13,0.0381
0.0,0.08,0.14,0.0426
0.0,0.08,0.15,0.0463
0.0,0.08,0.16,0.0492
0.0,0.08,0.17,0.0513
0.0,0.08,0.18,0.0526
0.0,0.08,0.19,0.0531
0.0,0.08,0.2,0.0531
0.0,0.08,0.21,0.0525
0.0,0.08,0.22,0.0515
0.0,0.08,0.23,0.0502
0.0,0.08,0.24,0.0486
0.0,0.08,0.25,0.0469
0.0,0.08,0.26,0.0451
0.0,0.08,0.27,0.0434
0.0,0.08,0.28,0.0416
0.0,0.08,0.29,0.04
0.0,0.08,0.3,0.0384
0.0,0.08,0.31,0.0371
0.0,0.08,0.32,0.0359
0.0,0.08,0.33,0.0348
0.0,0.08,0.34,0.034
0.0,0.08,0.35000000000000003,0.0332
0.0,0.08,0.36,0.0327
0.0,0.08,0.37,0.0322
0.0,0.08,0.38,0.0318
0.0,0.08,0.39,0.0315
0.0,0.08,0.4,0.0312
0.0,0.08,0.41000000000000003,0.0309
0.0,0.08,0.42,0.0307
0.0,0.08,0.43,0.0303
0.0,0.08,0.44,0.0299
0.0,0.08,0.45,0.0294
0.0,0.08,0.46,0.0289
0.0,0.08,0.47000000000000003,0.0282
0.0,0.08,0.48,0.0274
0.0,0.08,0.49,0.027
0.0,0.09,0.0,9.27e-05
0.0,0.09,0.01,0.000224
0.0,0.09,0.02,0.000856
0.0,0.09,0.03,0.00209
0.0,0.09,0.04,0.00398
0.0,0.09,0.05,0.00655
0.0,0.09,0.06,0.00985
0.0,0.09,0.07,0.0139
0.0,0.09,0.08,0.0188
0.0,0.09,0.09,0.0244
0.0,0.09,0.1,0.0304
0.0,0.09,0.11,0.0367
0.0,0.09,0.12,0.0428
0.0,0.09,0.13,0.0485
0.0,0.09,0.14,0.0533
0.0,0.09,0.15,0.0573
0.0,0.09,0.16,0.0602
0.0,0.09,0.17,0.0622
0.0,0.09,0.18,0.0632
0.0,0.09,0.19,0.0635
0.0,0.09,0.2,0.0631
0.0,0.09,0.21,0.0622
0.0,0.09,0.22,0.0609
0.0,0.09,0.23,0.0592
0.0,0.09,0.24,0.0573
0.0,0.09,0.25,0.0553
0.0,0.09,0.26,0.0532
0.0,0.09,0.27,0.0511
0.0,0.09,0.28,0.049
0.0,0.09,0.29,0.0471
0.0,0.09,0.3,0.0454
0.0,0.09,0.31,0.0438
0.0,0.09,0.32,0.0424
0.0,0.09,0.33,0.0412
0.0,0.09,0.34,0.0403
0.0,0.09,0.35000000000000003,0.0395
0.0,0.09,0.36,0.0389
0.0,0.09,0.37,0.0384
0.0,0.09,0.38,0.0381
0.0,0.09,0.39,0.0378
0.0,0.09,0.4,0.0376
0.0,0.09,0.41000000000000003,0.0374
0.0,0.09,0.42,0.0372
0.0,0.09,0.43,0.0369
0.0,0.09,0.44,0.0365
0.0,0.09,0.45,0.0361
0.0,0.09,0.46,0.0355
0.0,0.09,0.47000000000000003,0.0348
0.0,0.09,0.48,0.034
0.0,0.09,0.49,0.0335
0.0,0.1,0.0,0.000164
0.0,0.1,0.01,0.000376
0.0,0.1,0.02,0.00136
0.0,0.1,0.03,0.00325
0.0,0.1,0.04,0.00605
0.0,0.1,0.05,0.00975
0.0,0.1,0.06,0.0143
0.0,0.1,0.07,0.0198
0.0,0.1,0.08,0.0261
0.0,0.1,0.09,0.0331
0.0,0.1,0.1,0.0404
0.0,0.1,0.11,0.0478
0.0,0.1,0.12,0.0547
0.0,0.1,0.13,0.0608
0.0,0.1,0.14,0.0659
0.0,0.1,0.15,0.0697
0.0,0.1,0.16,0.0724
0.0,0.1,0.17,0.0741
0.0,0.1,0.18,0.0747
0.0,0.1,0.19,0.0746
0.0,0.1,0.2,0.0737
0.0,0.1,0.21,0.0724
0.0,0.1,0.22,0.0706
0.0,0.1,0.23,0.0686
0.0,0.1,0.24,0.0663
0.0,0.1,0.25,0.0639
0.0,0.1,0.26,0.0614
0.0,0.1,0.27,0.059
0.0,0.1,0.28,0.0567
0.0,0.1,0.29,0.0545
0.0,0.1,0.3,0.0525
0.0,0.1,0.31,0.0507
0.0,0.1,0.32,0.0492
0.0,0.1,0.33,0.0479
0.0,0.1,0.34,0.0469
0.0,0.1,0.35000000000000003,0.0461
0.0,0.1,0.36,0.0455
0.0,0.1,0.37,0.045
0.0,0.1,0.38,0.0447
0.0,0.1,0.39,0.0445
0.0,0.1,0.4,0.0444
0.0,0.1,0.41000000000000003,0.0443
0.0,0.1,0.42,0.0442
0.0,0.1,0.43,0.044
0.0,0.1,0.44,0.0437
0.0,0.1,0.45,0.0433
0.0,0.1,0.46,0.0428
0.0,0.1,0.47000000000000003,0.042
0.0,0.1,0.48,0.0411
0.0,0.1,0.49,0.0405
0.0,0.11,0.0,0.00026
0.0,0.11,0.01,0.000593
0.0,0.11,0.02,0.00208
0.0,0.11,0.03,0.00487
0.0,0.11,0.04,0.00894
0.0,0.11,0.05,0.0142
0.0,0.11,0.06,0.0204
0.0,0.11,0.07,0.0277
0.0,0.11,0.08,0.0357
0.0,0.11,0.09,0.0443
0.0,0.11,0.1,0.053
0.0,0.11,0.11,0.0613
0.0,0.11,0.12,0.0688
0.0,0.11,0.13,0.0752
0.0,0.11,0.14,0.0802
0.0,0.11,0.15,0.0837
0.0,0.11,0.16,0.086
0.0,0.11,0.17,0.087
0.0,0.11,0.18,0.0871
0.0,0.11,0.19,0.0863
0.0,0.11,0.2,0.0849
0.0,0.11,0.21,0.083
0.0,0.11,0.22,0.0808
0.0,0.11,0.23,0.0782
0.0,0.11,0.24,0.0755
0.0,0.11,0.25,0.0728
0.0,0.11,0.26,0.0699
0.0,0.11,0.27,0.0672
0.0,0.11,0.28,0.0646
0.0,0.11,0.29,0.0621
0.0,0.11,0.3,0.0599
0.0,0.11,0.31,0.0579
0.0,0.11,0.32,0.0563
0.0,0.11,0.33,0.0549
0.0,0.11,0.34,0.0538
0.0,0.11,0.35000000000000003,0.0529
0.0,0.11,0.36,0.0523
0.0,0.11,0.37,0.0519
0.0,0.11,0.38,0.0517
0.0,0.11,0.39,0.0516
0.0,0.11,0.4,0.0516
0.0,0.11,0.41000000000000003,0.0517
0.0,0.11,0.42,0.0517
0.0,0.11,0.43,0.0517
0.0,0.11,0.44,0.0515
0.0,0.11,0.45,0.0512
0.0,0.11,0.46,0.0507
0.0,0.11,0.47000000000000003,0.0499
0.0,0.11,0.48,0.0489
0.0,0.11,0.49,0.0482
0.0,0.12,0.0,0.000361
0.0,0.12,0.01,0.000865
0.0,0.12,0.02,0.00303
0.0,0.12,0.03,0.00707
0.0,0.12,0.04,0.0128
0.0,0.12,0.05,0.0201
0.0,0.12,0.06,0.0285
0.0,0.12,0.07,0.038
0.0,0.12,0.08,0.048
0.0,0.12,0.09,0.0583
0.0,0.12,0.1,0.0683
0.0,0.12,0.11,0.0775
0.0,0.12,0.12,0.0854
0.0,0.12,0.13,0.0917
0.0,0.12,0.14,0.0963
0.0,0.12,0.15,0.0992
0.0,0.12,0.16,0.101
0.0,0.12,0.17,0.101
0.0,0.12,0.18,0.1
0.0,0.12,0.19,0.0986
0.0,0.12,0.2,0.0965
0.0,0.12,0.21,0.094
0.0,0.12,0.22,0.0911
0.0,0.12,0.23,0.0881
0.0,0.12,0.24,0.085
0.0,0.12,0.25,0.0818
0.0,0.12,0.26,0.0786
0.0,0.12,0.27,0.0755
0.0,0.12,0.28,0.0726
0.0,0.12,0.29,0.0699
0.0,0.12,0.3,0.0675
0.0,0.12,0.31,0.0654
0.0,0.12,0.32,0.0635
0.0,0.12,0.33,0.0621
0.0,0.12,0.34,0.0609
0.0,0.12,0.35000000000000003,0.0601
0.0,0.12,0.36,0.0595
0.0,0.12,0.37,0.0592
0.0,0.12,0.38,0.0591
0.0,0.12,0.39,0.0592
0.0,0.12,0.4,0.0593
0.0,0.12,0.41000000000000003,0.0596
0.0,0.12,0.42,0.0598
0.0,0.12,0.43,0.0599
0.0,0.12,0.44,0.06
0.0,0.12,0.45,0.0598
0.0,0.12,0.46,0.0594
0.0,0.12,0.47000000000000003,0.0586
0.0,0.12,0.48,0.0574
0.0,0.12,0.49,0.0567
0.0,0.13,0.0,0.000469
0.0,0.13,0.01,0.0012
0.0,0.13,0.02,0.00427
0.0,0.13,0.03,0.00996
0.0,0.13,0.04,0.018
0.0,0.13,0.05,0.0278
0.0,0.13,0.06,0.039
0.0,0.13,0.07,0.051
0.0,0.13,0.08,0.0633
0.0,0.13,0.09,0.0754
0.0,0.13,0.1,0.0866
0.0,0.13,0.11,0.0965
0.0,0.13,0.12,0.104
0.0,0.13,0.13,0.11
0.0,0.13,0.14,0.114
0.0,0.13,0.15,0.116
0.0,0.13,0.16,0.116
0.0,0.13,0.17,0.115
0.0,0.13,0.18,0.114
0.0,0.13,0.19,0.111
0.0,0.13,0.2,0.108
0.0,0.13,0.21,0.105
0.0,0.13,0.22,0.102
0.0,0.13,0.23,0.098
0.0,0.13,0.24,0.0944
0.0,0.13,0.25,0.0908
0.0,0.13,0.26,0.0873
0.0,0.13,0.27,0.084
0.0,0.13,0.28,0.0808
0.0,0.13,0.29,0.0779
0.0,0.13,0.3,0.0753
0.0,0.13,0.31,0.073
0.0,0.13,0.32,0.071
0.0,0.13,0.33,0.0695
0.0,0.13,0.34,0.0683
0.0,0.13,0.35000000000000003,0.0675
0.0,0.13,0.36,0.067
0.0,0.13,0.37,0.0668
0.0,0.13,0.38,0.0668
0.0,0.13,0.39,0.067
0.0,0.13,0.4,0.0674
0.0,0.13,0.41000000000000003,0.0679
0.0,0.13,0.42,0.0683
0.0,0.13,0.43,0.0687
0.0,0.13,0.44,0.069
0.0,0.13,0.45,0.069
0.0,0.13,0.46,0.0687
0.0,0.13,0.47000000000000003,0.0681
0.0,0.13,0.48,0.067
0.0,0.13,0.49,0.0663
0.0,0.14,0.0,0.000556
0.0,0.14,0.01,0.00158
0.0,0.14,0.02,0.00585
0.0,0.14,0.03,0.0137
0.0,0.14,0.04,0.0246
0.0,0.14,0.05,0.0377
0.0,0.14,0.06,0.052
0.0,0.14,0.07,0.067
0.0,0.14,0.08,0.0818
0.0,0.14,0.09,0.0957
0.0,0.14,0.1,0.108
0.0,0.14,0.11,0.118
0.0,0.14,0.12,0.126
0.0,0.14,0.13,0.13
0.0,0.14,0.14,0.133
