Node Number,x,y,z,Dynamic Pressure
8180.0,0.296,0.051,0.,0.113
8875.0,0.306,0.051,0.,0.118
9608.0,0.316,0.051,0.,0.119
10380.0,0.327,0.051,0.,0.114
11192.0,0.337,0.051,0.,0.105
12045.0,0.347,0.051,0.,0.0905
12940.0,0.357,0.051,0.,0.0741
13878.0,0.367,0.051,0.,0.0573
14860.0,0.378,0.051,0.,0.0417
15887.0,0.388,0.051,0.,0.0284
16960.0,0.398,0.051,0.,0.0178
18080.0,0.408,0.051,0.,0.00996
19248.0,0.418,0.051,0.,0.00471
20465.0,0.429,0.051,0.,0.00181
21732.0,0.439,0.051,0.,0.000735
23050.0,0.449,0.051,0.,0.00041
24420.0,0.459,0.051,0.,0.000254
25839.0,0.469,0.051,0.,0.000186
27300.0,0.48,0.051,0.,0.00014
28803.0,0.49,0.051,0.,8.95e-05
30346.0,0.5,0.051,0.,6.01e-05
120.0,0.,0.061,0.,1.51e-05
118.0,0.010,0.061,0.,3.21e-05
167.0,0.02,0.061,0.,8.8e-05
224.0,0.031,0.061,0.,0.000219
293.0,0.041,0.061,0.,0.00049
375.0,0.051,0.061,0.,0.00125
471.0,0.061,0.061,0.,0.00265
582.0,0.071,0.061,0.,0.00528
709.0,0.082,0.061,0.,0.00987
853.0,0.092,0.061,0.,0.0162
1015.0,0.102,0.061,0.,0.0243
1196.0,0.112,0.061,0.,0.0339
1397.0,0.122,0.061,0.,0.0457
1619.0,0.133,0.061,0.,0.0601
1863.0,0.143,0.061,0.,0.075
2130.0,0.153,0.061,0.,0.0862
2421.0,0.163,0.061,0.,0.091
2737.0,0.173,0.061,0.,0.0917
3079.0,0.184,0.061,0.,0.0925
3448.0,0.194,0.061,0.,0.0944
3845.0,0.204,0.061,0.,0.0979
4271.0,0.214,0.061,0.,0.103
4727.0,0.225,0.061,0.,0.112
5214.0,0.235,0.061,0.,0.124
5733.0,0.245,0.061,0.,0.144
6285.0,0.255,0.061,0.,0.171
6871.0,0.265,0.061,0.,0.199
7492.0,0.276,0.061,0.,0.223
8149.0,0.286,0.061,0.,0.244
8843.0,0.296,0.061,0.,0.259
9575.0,0.306,0.061,0.,0.265
10346.0,0.316,0.061,0.,0.259
11157.0,0.327,0.061,0.,0.242
12009.0,0.337,0.061,0.,0.217
12903.0,0.347,0.061,0.,0.184
13840.0,0.357,0.061,0.,0.149
14821.0,0.367,0.061,0.,0.114
15847.0,0.378,0.061,0.,0.0826
16919.0,0.388,0.061,0.,0.0561
18038.0,0.398,0.061,0.,0.0355
19205.0,0.408,0.061,0.,0.0205
20421.0,0.418,0.061,0.,0.0103
21687.0,0.429,0.061,0.,0.00427
23004.0,0.439,0.061,0.,0.00155
24373.0,0.449,0.061,0.,0.000739
25791.0,0.459,0.061,0.,0.00044
27251.0,0.469,0.061,0.,0.000306
28753.0,0.48,0.061,0.,0.000227
30295.0,0.49,0.061,0.,0.000144
31875.0,0.5,0.061,0.,9.66e-05
162.0,0.,0.071,0.,2.78e-05
160.0,0.010,0.071,0.,5.79e-05
219.0,0.02,0.071,0.,0.00016
287.0,0.031,0.071,0.,0.000403
368.0,0.041,0.071,0.,0.00119
463.0,0.051,0.071,0.,0.0032
573.0,0.061,0.071,0.,0.00686
699.0,0.071,0.071,0.,0.0129
842.0,0.082,0.071,0.,0.0224
1003.0,0.092,0.071,0.,0.036
1183.0,0.102,0.071,0.,0.0535
